XXX time_point 2589, cid 17 -> FULL
XXX time_point 2594, cid 17 -> FULL
XXX time_point 2614, cid 17 -> FULL
XXX time_point 2619, cid 17 -> FULL
XXX time_point 2624, cid 17 -> FULL
XXX time_point 2625, cid 17 -> FULL
XXX time_point 2635, cid 17 -> FULL
XXX time_point 2640, cid 17 -> FULL
XXX time_point 2645, cid 17 -> FULL
XXX time_point 2650, cid 17 -> FULL
XXX time_point 2655, cid 17 -> FULL
XXX time_point 2656, cid 17 -> FULL
XXX time_point 2662, cid 17 -> FULL
XXX time_point 2682, cid 17 -> FULL
XXX time_point 2687, cid 17 -> FULL
XXX time_point 2692, cid 17 -> FULL
XXX time_point 2697, cid 17 -> FULL
XXX time_point 2702, cid 17 -> FULL
XXX time_point 2722, cid 17 -> FULL
XXX time_point 2727, cid 17 -> FULL
XXX time_point 2728, cid 17 -> FULL
XXX time_point 2733, cid 17 -> FULL
XXX time_point 2738, cid 17 -> FULL
XXX time_point 2739, cid 17 -> FULL
XXX time_point 2744, cid 17 -> FULL
XXX time_point 2749, cid 17 -> FULL
XXX time_point 2750, cid 17 -> FULL
XXX time_point 2755, cid 17 -> FULL
XXX time_point 2775, cid 17 -> FULL
XXX time_point 2780, cid 17 -> FULL
XXX time_point 2785, cid 17 -> FULL
XXX time_point 2790, cid 17 -> FULL
XXX time_point 2791, cid 17 -> FULL
XXX time_point 2792, cid 17 -> FULL
XXX time_point 2793, cid 17 -> FULL
XXX time_point 2798, cid 17 -> FULL
XXX time_point 2799, cid 17 -> FULL
XXX time_point 2800, cid 17 -> FULL
XXX time_point 2801, cid 17 -> FULL
XXX time_point 2806, cid 17 -> FULL
XXX time_point 2816, cid 17 -> FULL
XXX time_point 2821, cid 17 -> FULL
XXX time_point 2822, cid 17 -> FULL
XXX time_point 2832, cid 17 -> FULL
XXX time_point 2833, cid 17 -> FULL
XXX time_point 2838, cid 17 -> FULL
XXX time_point 2843, cid 17 -> FULL
XXX time_point 2848, cid 17 -> FULL
XXX time_point 2849, cid 17 -> FULL
XXX time_point 2854, cid 17 -> FULL
XXX time_point 2855, cid 17 -> FULL
XXX time_point 2875, cid 17 -> FULL
XXX time_point 2895, cid 17 -> FULL
XXX time_point 2900, cid 17 -> FULL
XXX time_point 2906, cid 17 -> FULL
XXX time_point 2911, cid 17 -> FULL
XXX time_point 2916, cid 17 -> FULL
XXX time_point 2921, cid 17 -> FULL
XXX time_point 2926, cid 17 -> FULL
XXX time_point 2931, cid 17 -> FULL
XXX time_point 2936, cid 17 -> FULL
XXX time_point 2941, cid 17 -> FULL
XXX time_point 2942, cid 17 -> FULL
XXX time_point 2947, cid 17 -> FULL
XXX time_point 2952, cid 17 -> FULL
XXX time_point 2957, cid 17 -> FULL
XXX time_point 2962, cid 17 -> FULL
XXX time_point 2967, cid 17 -> FULL
XXX time_point 2997, cid 17 -> FULL
XXX time_point 2998, cid 17 -> FULL
XXX time_point 2999, cid 17 -> FULL
XXX time_point 3004, cid 17 -> FULL
XXX time_point 3009, cid 17 -> FULL
